piste;nimi;x_gk25;y_gk25;suunta;aika;vuosi;ha;pa;ka;ra;la;mp;rv;autot
A01;LAUTTASAAREN SILTA;25494426;6672169;2;1645;2011;167;7;1;0;8;3;0;183
A01;LAUTTASAAREN SILTA;25494426;6672169;2;1700;2011;155;9;0;0;9;3;0;173
A01;LAUTTASAAREN SILTA;25494426;6672169;2;1715;2011;173;4;1;0;11;4;0;189
A01;LAUTTASAAREN SILTA;25494426;6672169;2;1730;2011;146;2;0;0;6;6;0;154
A01;LAUTTASAAREN SILTA;25494426;6672169;2;1745;2011;146;2;0;0;6;6;0;154
A01;LAUTTASAAREN SILTA;25494426;6672169;2;1800;2011;466;23;1;0;27;18;0;517
A01;LAUTTASAAREN SILTA;25494426;6672169;2;1900;2011;437;30;6;1;26;5;0;500
A01;LAUTTASAAREN SILTA;25494426;6672169;2;2000;2011;399;31;6;0;24;0;0;460
A01;LAUTTASAAREN SILTA;25494426;6672169;2;2100;2011;374;29;5;0;23;0;0;431
A01;LAUTTASAAREN SILTA;25494426;6672169;2;2200;2011;215;18;3;0;13;0;0;249
A01;LAUTTASAAREN SILTA;25494426;6672169;2;2300;2011;167;13;2;0;10;0;0;192
A02;LAPINLAHDEN SILTA;25494579;6672693;1;0;2011;116;6;1;2;7;0;0;132
A02;LAPINLAHDEN SILTA;25494579;6672693;1;100;2011;74;3;1;2;4;0;0;84
A02;LAPINLAHDEN SILTA;25494579;6672693;1;200;2011;48;2;0;1;3;0;0;54
A02;LAPINLAHDEN SILTA;25494579;6672693;1;300;2011;42;2;1;1;2;0;0;48
A02;LAPINLAHDEN SILTA;25494579;6672693;1;400;2011;54;3;0;1;3;0;0;61
A02;LAPINLAHDEN SILTA;25494579;6672693;1;500;2011;194;9;1;4;10;0;0;218
A02;LAPINLAHDEN SILTA;25494579;6672693;1;600;2011;71;22;6;4;13;0;0;116
A02;LAPINLAHDEN SILTA;25494579;6672693;1;615;2011;128;45;10;4;28;0;0;215
A02;LAPINLAHDEN SILTA;25494579;6672693;1;630;2011;238;131;15;11;25;3;0;420
A02;LAPINLAHDEN SILTA;25494579;6672693;1;645;2011;409;81;11;8;29;1;0;538
A02;LAPINLAHDEN SILTA;25494579;6672693;1;700;2011;429;50;15;3;27;8;0;524
A02;LAPINLAHDEN SILTA;25494579;6672693;1;715;2011;527;36;7;6;26;3;0;602
A02;LAPINLAHDEN SILTA;25494579;6672693;1;730;2011;716;39;10;1;36;5;0;802
